numeric.date,crosser,group,focal.plant,focal.type,mom,mom.loc,mom.type,dad,dad.loc,dad.type,cross.ind,cross.loc,cross.type,w.capsule,n.seeds,seed1,seed2,seed3,seed4,r.cross.type,mom.geo,mom.sp,dad.geo,dad.sp,mom.pop,dad.pop,r.geo,r.sp,min1seed,minfert,intraspecific
42968,Kate,3,117SL,SL,97AL,KS,AL,117SL,POL,SL,117xx97,KSxxPOL,ALxxSL,14.2,1,10.1,2.3,2,0.1,ALxSL,A,L,S,L,KS.L,POL.L,AxS,LxL,TRUE,TRUE,TRUE
42898,Hanhan,3,117SL,SL,117SL,POL,SL,102SC,CHAD,SC,102xx117,CHADxxPOL,SCxxSL,0,0,NA,NA,NA,NA,SLxSC,S,L,S,C,POL.L,CHAD.C,SxS,LxC,FALSE,FALSE,FALSE
42942,Kate,3,117SL,SL,117SL,POL,SL,102SC,CHAD,SC,102xx117,CHADxxPOL,SCxxSL,0,0,NA,NA,NA,NA,SLxSC,S,L,S,C,POL.L,CHAD.C,SxS,LxC,FALSE,FALSE,FALSE
42948,Kate,3,117SL,SL,117SL,POL,SL,102SC,CHAD,SC,102xx117,CHADxxPOL,SCxxSL,0,0,NA,NA,NA,NA,SLxSC,S,L,S,C,POL.L,CHAD.C,SxS,LxC,FALSE,FALSE,FALSE
42963,Kate,3,117SL,SL,117SL,POL,SL,110SL,CHAD,SL,110xx117,CHADxxPOL,SLxxSL,0,0,NA,NA,NA,NA,SLxSL,S,L,S,L,POL.L,CHAD.L,SxS,LxL,FALSE,FALSE,TRUE
42964,Kate,3,117SL,SL,117SL,POL,SL,110SL,CHAD,SL,110xx117,CHADxxPOL,SLxxSL,0,0,NA,NA,NA,NA,SLxSL,S,L,S,L,POL.L,CHAD.L,SxS,LxL,FALSE,FALSE,TRUE
42964,Kate,3,117SL,SL,117SL,POL,SL,110SL,CHAD,SL,110xx117,CHADxxPOL,SLxxSL,0,0,NA,NA,NA,NA,SLxSL,S,L,S,L,POL.L,CHAD.L,SxS,LxL,FALSE,FALSE,TRUE
42967,Kate,3,117SL,SL,117SL,POL,SL,110SL,CHAD,SL,110xx117,CHADxxPOL,SLxxSL,0,0,NA,NA,NA,NA,SLxSL,S,L,S,L,POL.L,CHAD.L,SxS,LxL,FALSE,FALSE,TRUE
42967,Kate,3,117SL,SL,117SL,POL,SL,110SL,CHAD,SL,110xx117,CHADxxPOL,SLxxSL,0,0,NA,NA,NA,NA,SLxSL,S,L,S,L,POL.L,CHAD.L,SxS,LxL,FALSE,FALSE,TRUE
42901,Hanhan,3,117SL,SL,117SL,POL,SL,44AC,AUS,AC,117xx44,AUSxxPOL,ACxxSL,0,0,NA,NA,NA,NA,SLxAC,S,L,A,C,POL.L,AUS.C,SxA,LxC,FALSE,FALSE,FALSE
42943,Kate,3,117SL,SL,117SL,POL,SL,44AC,AUS,AC,117xx44,AUSxxPOL,ACxxSL,0,0,NA,NA,NA,NA,SLxAC,S,L,A,C,POL.L,AUS.C,SxA,LxC,FALSE,FALSE,FALSE
42943,Kate,3,117SL,SL,117SL,POL,SL,44AC,AUS,AC,117xx44,AUSxxPOL,ACxxSL,0,0,NA,NA,NA,NA,SLxAC,S,L,A,C,POL.L,AUS.C,SxA,LxC,FALSE,FALSE,FALSE
42947,Kate,3,117SL,SL,117SL,POL,SL,44AC,AUS,AC,117xx44,AUSxxPOL,ACxxSL,0,0,NA,NA,NA,NA,SLxAC,S,L,A,C,POL.L,AUS.C,SxA,LxC,FALSE,FALSE,FALSE
42948,Kate,3,117SL,SL,117SL,POL,SL,102SC,CHAD,SC,102xx117,CHADxxPOL,SCxxSL,37.9,1,37.5,0.2,0.1,0.1,SLxSC,S,L,S,C,POL.L,CHAD.C,SxS,LxC,TRUE,TRUE,FALSE
42900,Hanhan,3,117SL,SL,117SL,POL,SL,97AL,KS,AL,117xx97,KSxxPOL,ALxxSL,35.9,1,35.4,0.2,0.4,0.2,SLxAL,S,L,A,L,POL.L,KS.L,SxA,LxL,TRUE,TRUE,TRUE
42962,Kate,3,117SL,SL,117SL,POL,SL,97AL,KS,AL,117xx97,KSxxPOL,ALxxSL,90.1,3,30.4,30,29.6,0.1,SLxAL,S,L,A,L,POL.L,KS.L,SxA,LxL,TRUE,TRUE,TRUE
42956,Kate,3,117SL,SL,117SL,POL,SL,97AL,KS,AL,117xx97,KSxxPOL,ALxxSL,55.8,2,28.9,26.6,1.1,0.1,SLxAL,S,L,A,L,POL.L,KS.L,SxA,LxL,TRUE,TRUE,TRUE
42962,Kate,3,117SL,SL,117SL,POL,SL,97AL,KS,AL,117xx97,KSxxPOL,ALxxSL,104.1,4,24.9,26.6,27.2,26.7,SLxAL,S,L,A,L,POL.L,KS.L,SxA,LxL,TRUE,TRUE,TRUE
